Наименование,Наименование артикула,Артикул,Валюта,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,Краткое описание,Описание,Наклейка,Статус,Тип товаров,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Дополнительные параметры,Диаметр диска,Ширина диска,Тип диска,PCD,ET,Бренд диска,DIA,Цвет,Изображения
10.0x20 PCD 5x112 Et50 AEZ Yacht SUV,"1,00110221280103E+015","1,00110221280103E+015",,8946,,,,4,AEZ Yacht SUV,10.0x20 PCD 5x112 Et50 AEZ Yacht SUV ,,,Диски,,,,10.0x20 PCD 5x112 Et50 AEZ Yacht SUV ,10.0x20 PCD 5x112 Et50 AEZ Yacht SUV ,,,20,10.0,легкосплавный,5x112,50,AEZ,,,AEZ_YachtSUV.jpg
10.0x20 PCD 5x120 Et25 AEZ Yacht SUV,"1,00110281230103E+015","1,00110281230103E+015",,8946,,,,4,AEZ Yacht SUV,10.0x20 PCD 5x120 Et25 AEZ Yacht SUV ,,,Диски,,,,10.0x20 PCD 5x120 Et25 AEZ Yacht SUV ,10.0x20 PCD 5x120 Et25 AEZ Yacht SUV ,,,20,10.0,легкосплавный,5x120,25,AEZ,,,AEZ_YachtSUV.jpg
10.0x20 PCD 5x120 Et40 AEZ Yacht SUV,"1,00110281260103E+015","1,00110281260103E+015",,8946,,,,4,AEZ Yacht SUV,10.0x20 PCD 5x120 Et40 AEZ Yacht SUV ,,,Диски,,,,10.0x20 PCD 5x120 Et40 AEZ Yacht SUV ,10.0x20 PCD 5x120 Et40 AEZ Yacht SUV ,,,20,10.0,легкосплавный,5x120,40,AEZ,,,AEZ_YachtSUV.jpg
10.0x21 PCD 5x112 Et35 AEZ Cliff,"1,002102212501E+015","1,002102212501E+015",,11155,,,,4,AEZ Cliff,10.0x21 PCD 5x112 Et35 AEZ Cliff ,,,Диски,,,,10.0x21 PCD 5x112 Et35 AEZ Cliff ,10.0x21 PCD 5x112 Et35 AEZ Cliff ,,,21,10.0,легкосплавный,5x112,35,AEZ,,,AEZ_Cliff.jpg
10.0x21 PCD 5x112 Et35 AEZ Cliff dark,"1,002102212501E+015","1,002102212501E+015",,11681,,,,4,AEZ Cliff dark,10.0x21 PCD 5x112 Et35 AEZ Cliff dark ,,,Диски,,,,10.0x21 PCD 5x112 Et35 AEZ Cliff dark ,10.0x21 PCD 5x112 Et35 AEZ Cliff dark ,,,21,10.0,легкосплавный,5x112,35,AEZ,,,AEZ_Cliffdark.jpg
10.0x21 PCD 5x112 Et40 AEZ Yacht SUV,"1,00210221260103E+015","1,00210221260103E+015",,11024,,,,4,AEZ Yacht SUV,10.0x21 PCD 5x112 Et40 AEZ Yacht SUV ,,,Диски,,,,10.0x21 PCD 5x112 Et40 AEZ Yacht SUV ,10.0x21 PCD 5x112 Et40 AEZ Yacht SUV ,,,21,10.0,легкосплавный,5x112,40,AEZ,,,AEZ_YachtSUV.jpg
10.0x21 PCD 5x112 Et40 DOTZ Territory,"1,00210221260109E+015","1,00210221260109E+015",,10366,,,,4,DOTZ Territory,10.0x21 PCD 5x112 Et40 DOTZ Territory ,,,Диски,,,,10.0x21 PCD 5x112 Et40 DOTZ Territory ,10.0x21 PCD 5x112 Et40 DOTZ Territory ,,,21,10.0,легкосплавный,5x112,40,DOTZ,,,DOTZ_Territory.jpg
10.0x21 PCD 5x112 Et45 AEZ Cliff,"1,002102212701E+015","1,002102212701E+015",,11155,,,,4,AEZ Cliff,10.0x21 PCD 5x112 Et45 AEZ Cliff ,,,Диски,,,,10.0x21 PCD 5x112 Et45 AEZ Cliff ,10.0x21 PCD 5x112 Et45 AEZ Cliff ,,,21,10.0,легкосплавный,5x112,45,AEZ,,,AEZ_Cliff.jpg
10.0x21 PCD 5x112 Et45 AEZ Cliff dark,"1,002102212701E+015","1,002102212701E+015",,11681,,,,4,AEZ Cliff dark,10.0x21 PCD 5x112 Et45 AEZ Cliff dark ,,,Диски,,,,10.0x21 PCD 5x112 Et45 AEZ Cliff dark ,10.0x21 PCD 5x112 Et45 AEZ Cliff dark ,,,21,10.0,легкосплавный,5x112,45,AEZ,,,AEZ_Cliffdark.jpg
10.0x21 PCD 5x120 Et30 AEZ Yacht SUV,"1,00210281240103E+015","1,00210281240103E+015",,11024,,,,4,AEZ Yacht SUV,10.0x21 PCD 5x120 Et30 AEZ Yacht SUV ,,,Диски,,,,10.0x21 PCD 5x120 Et30 AEZ Yacht SUV ,10.0x21 PCD 5x120 Et30 AEZ Yacht SUV ,,,21,10.0,легкосплавный,5x120,30,AEZ,,,AEZ_YachtSUV.jpg
